txn_id,account_id,amount,currency,country,txn_date,txn_type,account_age_days
TXN000000,ACC0164,312.65,USD,KE,2024-05-20 07:00:00,CASH_DEP,572
TXN000001,ACC0189,120.61,USD,KE,2024-10-06 02:00:00,TRANSFER,131
TXN000002,ACC0008,8187.3,USD,KE,2024-11-04 00:00:00,CASH_DEP,2933
TXN000003,ACC0167,392.11,USD,GB,2024-08-02 07:00:00,TRANSFER,2414
TXN000004,ACC0072,1457.6,USD,US,2024-01-04 05:00:00,TRANSFER,1394
TXN000005,ACC0072,104.46,USD,KE,2024-06-21 03:00:00,WIRE,1557
TXN000006,ACC0025,104.46,USD,NG,2024-06-25 19:00:00,CASH_WD,3306
TXN000007,ACC0012,1585.76,USD,GB,2024-10-01 03:00:00,TRANSFER,323
TXN000008,ACC0142,469.26,USD,KE,2024-11-17 19:00:00,CASH_WD,2365
TXN000009,ACC0050,73.39,USD,GB,2024-01-24 21:00:00,CASH_DEP,3167
TXN000010,ACC0075,334.9,USD,KP,2024-04-29 03:00:00,TRANSFER,1139
TXN000011,ACC0117,74.06,USD,ZA,2024-07-05 05:00:00,CASH_WD,1456
TXN000012,ACC0054,73.8,USD,GB,2024-12-25 21:00:00,WIRE,2496
TXN000013,ACC0163,213.35,USD,KE,2024-05-05 05:00:00,TRANSFER,1555
TXN000014,ACC0070,8.42,USD,KP,2024-11-23 22:00:00,CASH_DEP,2805
TXN000015,ACC0084,11.16,USD,US,2024-01-29 07:00:00,WIRE,3298
TXN000016,ACC0081,63.85,USD,NG,2024-02-03 06:00:00,CASH_WD,871
TXN000017,ACC0168,32.48,USD,NG,2024-11-25 14:00:00,CASH_DEP,1085
TXN000018,ACC0036,237.79,USD,KE,2024-10-14 17:00:00,CASH_WD,3060
TXN000019,ACC0150,38.01,USD,NG,2024-10-25 12:00:00,CASH_WD,899
TXN000020,ACC0036,17.84,USD,ZA,2024-02-16 01:00:00,WIRE,627
TXN000021,ACC0161,1337.39,USD,KE,2024-12-14 13:00:00,WIRE,1577
TXN000022,ACC0098,105.78,USD,ZA,2024-08-27 16:00:00,CASH_WD,2267
TXN000023,ACC0003,9359.89,USD,KE,2024-10-01 08:00:00,CASH_WD,457
TXN000024,ACC0076,164.23,USD,NG,2024-08-20 00:00:00,CASH_WD,2051
TXN000025,ACC0196,17.51,USD,KE,2024-02-24 20:00:00,CASH_WD,3448
TXN000026,ACC0164,65.59,USD,ZA,2024-04-11 04:00:00,CASH_WD,3124
TXN000027,ACC0042,175.28,USD,ZA,2024-09-28 00:00:00,CASH_WD,2002
TXN000028,ACC0005,8223.62,USD,NG,2024-06-06 07:00:00,WIRE,987
TXN000029,ACC0146,26.4,USD,AE,2024-02-13 23:00:00,TRANSFER,3343
TXN000030,ACC0018,260.75,USD,IR,2024-09-29 04:00:00,CASH_DEP,2703
TXN000031,ACC0122,60.28,USD,AE,2024-03-25 08:00:00,TRANSFER,868
TXN000032,ACC0139,95.82,USD,US,2024-12-19 06:00:00,CASH_WD,1635
TXN000033,ACC0172,60.19,USD,ZA,2024-08-12 16:00:00,TRANSFER,496
TXN000034,ACC0064,2388.49,USD,KE,2024-06-22 00:00:00,CASH_DEP,2411
TXN000035,ACC0057,145.44,USD,KE,2024-12-28 20:00:00,WIRE,938
TXN000036,ACC0018,30.37,USD,AE,2024-06-18 02:00:00,CASH_DEP,1141
TXN000037,ACC0172,509.7,USD,NG,2024-10-03 04:00:00,TRANSFER,996
TXN000038,ACC0122,23.78,USD,US,2024-04-07 03:00:00,WIRE,2700
TXN000039,ACC0111,203.02,USD,NG,2024-07-29 14:00:00,WIRE,2759
TXN000040,ACC0168,7.85,USD,KP,2024-02-20 01:00:00,TRANSFER,2983
TXN000041,ACC0087,20.24,USD,US,2024-02-25 07:00:00,CASH_DEP,780
TXN000042,ACC0138,199.4,USD,NG,2024-08-04 05:00:00,CASH_WD,1895
TXN000043,ACC0064,449.3,USD,AE,2024-02-08 14:00:00,WIRE,208
TXN000044,ACC0167,191.91,USD,KP,2024-01-08 02:00:00,CASH_DEP,682
TXN000045,ACC0105,124.78,USD,NG,2024-04-19 12:00:00,WIRE,675
TXN000046,ACC0098,94.48,USD,KE,2024-07-18 08:00:00,TRANSFER,1169
TXN000047,ACC0109,16.15,USD,GB,2024-10-11 21:00:00,TRANSFER,635
TXN000048,ACC0049,50.41,USD,KE,2024-01-30 18:00:00,WIRE,3064
TXN000049,ACC0081,74.37,USD,KE,2024-10-26 15:00:00,CASH_DEP,233
TXN000050,ACC0131,724.65,USD,KE,2024-04-05 02:00:00,WIRE,2766
TXN000051,ACC0061,248.5,USD,NG,2024-10-18 07:00:00,WIRE,2537
TXN000052,ACC0021,10.54,USD,NG,2024-10-25 18:00:00,CASH_WD,1069
TXN000053,ACC0053,241.32,USD,GB,2024-06-09 07:00:00,CASH_WD,1622
TXN000054,ACC0034,83.29,USD,GB,2024-06-02 14:00:00,CASH_WD,3080
TXN000055,ACC0019,53.76,USD,KE,2024-11-14 18:00:00,WIRE,301
TXN000056,ACC0138,371.49,USD,KE,2024-05-15 04:00:00,CASH_WD,3609
TXN000057,ACC0018,696.8,USD,AE,2024-07-08 09:00:00,CASH_DEP,1795
TXN000058,ACC0140,599.99,USD,GB,2024-11-09 20:00:00,WIRE,2736
TXN000059,ACC0142,42.15,USD,KE,2024-12-05 03:00:00,CASH_DEP,1084
TXN000060,ACC0030,93.33,USD,AE,2024-10-10 04:00:00,CASH_WD,1155
TXN000061,ACC0155,243.93,USD,KE,2024-06-24 06:00:00,CASH_WD,2071
TXN000062,ACC0126,641.18,USD,KE,2024-01-27 02:00:00,TRANSFER,3398
TXN000063,ACC0071,72.33,USD,KE,2024-06-19 04:00:00,CASH_WD,662
TXN000064,ACC0190,112.34,USD,NG,2024-12-27 13:00:00,WIRE,459
TXN000065,ACC0020,28.23,USD,AE,2024-12-19 04:00:00,WIRE,3419
TXN000066,ACC0095,24.67,USD,ZA,2024-03-16 13:00:00,CASH_DEP,172
TXN000067,ACC0079,502.09,USD,NG,2024-01-21 11:00:00,CASH_DEP,2794
TXN000068,ACC0064,1134.97,USD,GB,2024-06-30 17:00:00,TRANSFER,2543
TXN000069,ACC0192,133.22,USD,KE,2024-05-01 05:00:00,CASH_DEP,3611
TXN000070,ACC0106,668.68,USD,KE,2024-06-19 13:00:00,CASH_DEP,1093
TXN000071,ACC0041,255.3,USD,US,2024-02-25 12:00:00,WIRE,3517
TXN000072,ACC0121,56.39,USD,KE,2024-08-23 11:00:00,CASH_WD,3361
TXN000073,ACC0059,255.21,USD,KE,2024-12-03 06:00:00,TRANSFER,1345
TXN000074,ACC0072,1490.78,USD,AE,2024-05-22 11:00:00,TRANSFER,2784
TXN000075,ACC0138,140.65,USD,NG,2024-01-15 03:00:00,CASH_WD,732
TXN000076,ACC0149,1551.48,USD,IR,2024-05-15 01:00:00,WIRE,2444
TXN000077,ACC0112,2.92,USD,NG,2024-06-09 13:00:00,WIRE,1578
TXN000078,ACC0148,509.21,USD,KE,2024-01-23 22:00:00,TRANSFER,7
TXN000079,ACC0134,169.11,USD,AE,2024-10-02 21:00:00,CASH_DEP,1492
TXN000080,ACC0111,94.77,USD,KE,2024-12-06 10:00:00,CASH_WD,2718
TXN000081,ACC0032,170.31,USD,GB,2024-06-02 16:00:00,CASH_WD,2732
TXN000082,ACC0105,7.53,USD,NG,2024-12-22 09:00:00,CASH_DEP,786
TXN000083,ACC0108,106.75,USD,GB,2024-07-13 21:00:00,CASH_DEP,2522
TXN000084,ACC0146,253.58,USD,NG,2024-10-07 00:00:00,CASH_WD,1176
TXN000085,ACC0054,1362.18,USD,NG,2024-10-23 19:00:00,CASH_WD,1905
TXN000086,ACC0114,68.21,USD,NG,2024-04-19 16:00:00,TRANSFER,3252
TXN000087,ACC0189,44.14,USD,KE,2024-02-13 09:00:00,CASH_WD,383
TXN000088,ACC0193,69.92,USD,KE,2024-06-07 07:00:00,CASH_DEP,604
TXN000089,ACC0007,8092.38,USD,KP,2024-11-08 02:00:00,TRANSFER,1698
TXN000090,ACC0162,585.87,USD,ZA,2024-12-22 12:00:00,TRANSFER,1637
TXN000091,ACC0063,243.02,USD,KE,2024-12-18 00:00:00,WIRE,3189
TXN000092,ACC0109,67.04,USD,KE,2024-12-22 16:00:00,TRANSFER,206
TXN000093,ACC0143,320.51,USD,KE,2024-03-03 14:00:00,CASH_DEP,3283
TXN000094,ACC0119,171.68,USD,GB,2024-10-13 19:00:00,CASH_WD,3094
TXN000095,ACC0114,634.58,USD,ZA,2024-09-15 13:00:00,TRANSFER,652
TXN000096,ACC0191,51.78,USD,AE,2024-08-18 08:00:00,CASH_DEP,3441
TXN000097,ACC0164,90.79,USD,KE,2024-09-23 15:00:00,CASH_DEP,1125
TXN000098,ACC0113,82.42,USD,KE,2024-05-26 07:00:00,CASH_WD,1376
TXN000099,ACC0082,16.52,USD,AE,2024-02-11 04:00:00,CASH_DEP,948
TXN000100,ACC0099,231.41,USD,GB,2024-12-27 06:00:00,WIRE,1700
TXN000101,ACC0105,219.55,USD,NG,2024-08-26 13:00:00,WIRE,848
TXN000102,ACC0108,149.56,USD,NG,2024-10-26 22:00:00,WIRE,3510
TXN000103,ACC0196,104.39,USD,ZA,2024-09-01 00:00:00,CASH_WD,1224
TXN000104,ACC0193,17.76,USD,NG,2024-08-02 17:00:00,CASH_DEP,2000
TXN000105,ACC0057,78.97,USD,KE,2024-09-05 00:00:00,TRANSFER,1377
TXN000106,ACC0172,88.76,USD,GB,2024-07-26 23:00:00,CASH_DEP,3443
TXN000107,ACC0120,44.55,USD,AE,2024-11-14 17:00:00,WIRE,1614
TXN000108,ACC0152,116.52,USD,ZA,2024-01-14 02:00:00,TRANSFER,556
TXN000109,ACC0119,272.07,USD,KE,2024-05-13 12:00:00,CASH_WD,867
TXN000110,ACC0117,2513.12,USD,NG,2024-07-13 08:00:00,TRANSFER,1034
TXN000111,ACC0021,192.84,USD,NG,2024-10-03 01:00:00,CASH_WD,919
TXN000112,ACC0167,218.4,USD,KE,2024-11-29 01:00:00,WIRE,1013
TXN000113,ACC0052,132.73,USD,US,2024-11-14 04:00:00,CASH_DEP,518
TXN000114,ACC0122,8.35,USD,GB,2024-10-15 06:00:00,TRANSFER,2866
TXN000115,ACC0066,142.63,USD,US,2024-03-26 19:00:00,WIRE,3186
TXN000116,ACC0042,162.45,USD,IR,2024-02-25 18:00:00,WIRE,1278
TXN000117,ACC0148,5972.16,USD,GB,2024-07-11 12:00:00,CASH_DEP,312
TXN000118,ACC0152,111.21,USD,GB,2024-11-17 07:00:00,WIRE,2856
TXN000119,ACC0198,233.3,USD,NG,2024-12-16 19:00:00,WIRE,3262
TXN000120,ACC0145,140.88,USD,US,2024-06-26 17:00:00,TRANSFER,2710
TXN000121,ACC0095,25.71,USD,KE,2024-11-27 10:00:00,WIRE,3480
TXN000122,ACC0108,824.05,USD,US,2024-02-24 13:00:00,CASH_WD,2604
TXN000123,ACC0118,458.47,USD,GB,2024-08-10 05:00:00,CASH_WD,2523
TXN000124,ACC0138,486.16,USD,US,2024-08-26 13:00:00,CASH_WD,1321
TXN000125,ACC0063,37.94,USD,US,2024-02-14 08:00:00,TRANSFER,999
TXN000126,ACC0193,1217.06,USD,NG,2024-11-08 21:00:00,TRANSFER,1378
TXN000127,ACC0008,8988.12,USD,NG,2024-09-06 06:00:00,CASH_WD,3268
TXN000128,ACC0067,18.12,USD,NG,2024-11-01 22:00:00,CASH_WD,2277
TXN000129,ACC0003,9032.74,USD,KE,2024-05-03 23:00:00,TRANSFER,2002
TXN000130,ACC0143,357.91,USD,US,2024-12-19 15:00:00,TRANSFER,1836
TXN000131,ACC0005,8186.01,USD,KE,2024-12-20 07:00:00,CASH_WD,2720
TXN000132,ACC0149,3966.67,USD,NG,2024-10-10 16:00:00,CASH_WD,1743
TXN000133,ACC0191,33.59,USD,ZA,2024-06-29 22:00:00,TRANSFER,1110
TXN000134,ACC0079,63.47,USD,KE,2024-03-02 23:00:00,CASH_DEP,1293
TXN000135,ACC0031,172.34,USD,GB,2024-12-19 05:00:00,CASH_DEP,887
TXN000136,ACC0190,69.74,USD,NG,2024-10-28 16:00:00,CASH_WD,412
TXN000137,ACC0050,14.5,USD,KE,2024-07-03 05:00:00,CASH_WD,58
TXN000138,ACC0182,164.49,USD,ZA,2024-05-20 01:00:00,WIRE,2267
